Latitude,Longitude,Metric,Year,Value
5.482263937,-0.349213529,Incidence Rate,2000,527.8204679
5.482263937,-0.349213529,Incidence Rate,2001,523.8581896
5.482263937,-0.349213529,Incidence Rate,2002,514.4406557
5.482263937,-0.349213529,Incidence Rate,2003,469.3666697
5.482263937,-0.349213529,Incidence Rate,2004,398.7652659
5.482263937,-0.349213529,Incidence Rate,2005,366.4377034
5.482263937,-0.349213529,Incidence Rate,2006,354.1535735
5.482263937,-0.349213529,Incidence Rate,2007,378.6143064
5.482263937,-0.349213529,Incidence Rate,2008,415.0703549
5.482263937,-0.349213529,Incidence Rate,2009,464.3469453
5.482263937,-0.349213529,Incidence Rate,2010,494.9574471
5.482263937,-0.349213529,Incidence Rate,2011,505.3895712
5.482263937,-0.349213529,Incidence Rate,2012,504.0869117
5.482263937,-0.349213529,Incidence Rate,2013,501.3148189
5.482263937,-0.349213529,Incidence Rate,2014,494.8388636
5.482263937,-0.349213529,Incidence Rate,2015,479.0320098
5.482263937,-0.349213529,Incidence Rate,2016,450.1378536
5.482263937,-0.349213529,Incidence Rate,2017,428.1709492
5.482263937,-0.349213529,Incidence Rate,2018,416.7327285
5.482263937,-0.349213529,Incidence Rate,2019,415.4523909
5.482263937,-0.349213529,Incidence Rate,2020,427.7579188
5.482263937,-0.349213529,Incidence Rate,2021,432.0757687
5.482263937,-0.349213529,Incidence Rate,2022,434.1622591
5.482263937,-0.349213529,Incidence Rate,2023,379.2082071
5.482263937,-0.349213529,Incidence Rate,2024,372.7553785
5.482263937,-0.349213529,Infection Prevalence,2000,76.04439855
5.482263937,-0.349213529,Infection Prevalence,2001,71.12765312
5.482263937,-0.349213529,Infection Prevalence,2002,64.40239549
5.482263937,-0.349213529,Infection Prevalence,2003,52.86760926
5.482263937,-0.349213529,Infection Prevalence,2004,41.72043204
5.482263937,-0.349213529,Infection Prevalence,2005,37.31990755
5.482263937,-0.349213529,Infection Prevalence,2006,35.63477695
5.482263937,-0.349213529,Infection Prevalence,2007,39.4818455
5.482263937,-0.349213529,Infection Prevalence,2008,45.87829113
5.482263937,-0.349213529,Infection Prevalence,2009,53.76431346
5.482263937,-0.349213529,Infection Prevalence,2010,60.4079783
5.482263937,-0.349213529,Infection Prevalence,2011,66.156286
5.482263937,-0.349213529,Infection Prevalence,2012,66.79780483
5.482263937,-0.349213529,Infection Prevalence,2013,66.09966159
5.482263937,-0.349213529,Infection Prevalence,2014,63.11656833
5.482263937,-0.349213529,Infection Prevalence,2015,58.01644325
5.482263937,-0.349213529,Infection Prevalence,2016,52.32905149
5.482263937,-0.349213529,Infection Prevalence,2017,48.83353412
5.482263937,-0.349213529,Infection Prevalence,2018,47.33911157
5.482263937,-0.349213529,Infection Prevalence,2019,47.80119061
5.482263937,-0.349213529,Infection Prevalence,2020,50.56183338
5.482263937,-0.349213529,Infection Prevalence,2021,51.86586976
5.482263937,-0.349213529,Infection Prevalence,2022,52.96069384
5.482263937,-0.349213529,Infection Prevalence,2023,44.04664636
5.482263937,-0.349213529,Infection Prevalence,2024,43.26867461
5.482263937,-0.349213529,Mortality Rate,2000,54.60039247
5.482263937,-0.349213529,Mortality Rate,2001,55.06989546
5.482263937,-0.349213529,Mortality Rate,2002,55.60218706
5.482263937,-0.349213529,Mortality Rate,2003,56.23866455
5.482263937,-0.349213529,Mortality Rate,2004,54.81956177
5.482263937,-0.349213529,Mortality Rate,2005,51.87793868
5.482263937,-0.349213529,Mortality Rate,2006,49.52849704
5.482263937,-0.349213529,Mortality Rate,2007,50.8862955
5.482263937,-0.349213529,Mortality Rate,2008,50.91156927
5.482263937,-0.349213529,Mortality Rate,2009,50.46057049
5.482263937,-0.349213529,Mortality Rate,2010,48.74839215
5.482263937,-0.349213529,Mortality Rate,2011,45.79715605
5.482263937,-0.349213529,Mortality Rate,2012,43.35384874
5.482263937,-0.349213529,Mortality Rate,2013,40.73980672
5.482263937,-0.349213529,Mortality Rate,2014,37.93037904
5.482263937,-0.349213529,Mortality Rate,2015,33.38903189
5.482263937,-0.349213529,Mortality Rate,2016,29.96163967
5.482263937,-0.349213529,Mortality Rate,2017,25.07760364
5.482263937,-0.349213529,Mortality Rate,2018,23.22205837
5.482263937,-0.349213529,Mortality Rate,2019,22.54989377
5.482263937,-0.349213529,Mortality Rate,2020,24.54864443
5.482263937,-0.349213529,Mortality Rate,2021,24.10441084
5.482263937,-0.349213529,Mortality Rate,2022,23.4932988
5.482263937,-0.349213529,Mortality Rate,2023,22.58940804
5.482263937,-0.349213529,Mortality Rate,2024,22.20008319
5.638029907,0.017869735,Incidence Rate,2000,391.0342455
5.638029907,0.017869735,Incidence Rate,2001,343.9399302
5.638029907,0.017869735,Incidence Rate,2002,285.9270573
5.638029907,0.017869735,Incidence Rate,2003,216.6637778
5.638029907,0.017869735,Incidence Rate,2004,165.4033512
5.638029907,0.017869735,Incidence Rate,2005,136.9716674
5.638029907,0.017869735,Incidence Rate,2006,122.6978973
5.638029907,0.017869735,Incidence Rate,2007,122.9334474
5.638029907,0.017869735,Incidence Rate,2008,130.2890182
5.638029907,0.017869735,Incidence Rate,2009,141.3910985
5.638029907,0.017869735,Incidence Rate,2010,154.7636986
5.638029907,0.017869735,Incidence Rate,2011,169.4832146
5.638029907,0.017869735,Incidence Rate,2012,182.6514155
5.638029907,0.017869735,Incidence Rate,2013,189.1280115
5.638029907,0.017869735,Incidence Rate,2014,182.1170896
5.638029907,0.017869735,Incidence Rate,2015,162.3910367
5.638029907,0.017869735,Incidence Rate,2016,140.1196569
5.638029907,0.017869735,Incidence Rate,2017,126.8515289
5.638029907,0.017869735,Incidence Rate,2018,121.2245747
5.638029907,0.017869735,Incidence Rate,2019,123.6145422
5.638029907,0.017869735,Incidence Rate,2020,136.2690926
5.638029907,0.017869735,Incidence Rate,2021,153.2414854
5.638029907,0.017869735,Incidence Rate,2022,156.0927331
5.638029907,0.017869735,Incidence Rate,2023,125.4876107
5.638029907,0.017869735,Incidence Rate,2024,122.1765727
5.638029907,0.017869735,Infection Prevalence,2000,39.58778083
5.638029907,0.017869735,Infection Prevalence,2001,32.90578127
5.638029907,0.017869735,Infection Prevalence,2002,25.17408133
5.638029907,0.017869735,Infection Prevalence,2003,16.62649661
5.638029907,0.017869735,Infection Prevalence,2004,11.23603061
5.638029907,0.017869735,Infection Prevalence,2005,8.599487692
5.638029907,0.017869735,Infection Prevalence,2006,7.351889461
5.638029907,0.017869735,Infection Prevalence,2007,7.460793853
5.638029907,0.017869735,Infection Prevalence,2008,8.136294782
5.638029907,0.017869735,Infection Prevalence,2009,9.017964453
5.638029907,0.017869735,Infection Prevalence,2010,10.1682134
5.638029907,0.017869735,Infection Prevalence,2011,11.60207838
5.638029907,0.017869735,Infection Prevalence,2012,13.02087307
5.638029907,0.017869735,Infection Prevalence,2013,13.82775009
5.638029907,0.017869735,Infection Prevalence,2014,13.10903132
5.638029907,0.017869735,Infection Prevalence,2015,11.06886417
5.638029907,0.017869735,Infection Prevalence,2016,9.014549106
5.638029907,0.017869735,Infection Prevalence,2017,7.888478041
5.638029907,0.017869735,Infection Prevalence,2018,7.424931973
5.638029907,0.017869735,Infection Prevalence,2019,7.668296993
5.638029907,0.017869735,Infection Prevalence,2020,8.812057227
5.638029907,0.017869735,Infection Prevalence,2021,10.49569622
5.638029907,0.017869735,Infection Prevalence,2022,10.84162295
5.638029907,0.017869735,Infection Prevalence,2023,8.026409149
5.638029907,0.017869735,Infection Prevalence,2024,7.764995843
5.638029907,0.017869735,Mortality Rate,2000,31.25050862
5.638029907,0.017869735,Mortality Rate,2001,31.49252152
5.638029907,0.017869735,Mortality Rate,2002,31.81140928
5.638029907,0.017869735,Mortality Rate,2003,32.19813516
5.638029907,0.017869735,Mortality Rate,2004,31.38686297
5.638029907,0.017869735,Mortality Rate,2005,29.69325578
5.638029907,0.017869735,Mortality Rate,2006,28.34905463
5.638029907,0.017869735,Mortality Rate,2007,29.13578646
5.638029907,0.017869735,Mortality Rate,2008,29.1712
5.638029907,0.017869735,Mortality Rate,2009,28.94036879
5.638029907,0.017869735,Mortality Rate,2010,27.9715372
5.638029907,0.017869735,Mortality Rate,2011,26.25057823
5.638029907,0.017869735,Mortality Rate,2012,24.8474651
5.638029907,0.017869735,Mortality Rate,2013,23.31645956
5.638029907,0.017869735,Mortality Rate,2014,21.67832281
5.638029907,0.017869735,Mortality Rate,2015,19.06164543
5.638029907,0.017869735,Mortality Rate,2016,17.0966654
5.638029907,0.017869735,Mortality Rate,2017,7.940686919
5.638029907,0.017869735,Mortality Rate,2018,7.362382894
5.638029907,0.017869735,Mortality Rate,2019,7.155013009
5.638029907,0.017869735,Mortality Rate,2020,7.780966553
5.638029907,0.017869735,Mortality Rate,2021,7.629067113
5.638029907,0.017869735,Mortality Rate,2022,7.436826854
5.638029907,0.017869735,Mortality Rate,2023,7.15226779
5.638029907,0.017869735,Mortality Rate,2024,7.024646038
